"Title","Description","Singers (one line)","YoutubeID"
"1 ആണായൊരു കുഞ്ഞന്‍","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ | ആവിഷ്‌കാരം:എസ്.ഐ.ഒ സംവേദന വേദി","Not credited","mnZpb9kxhHY"
"1- ഇനി മിഴിതുറക്കുന്നു നമ്മള്‍","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","Wtd6GejGgqY"
"10 ജനമൊഴിയാന്‍ അവര്‍ തിരക്കി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","oOtLschNNcs"
"11 ആസിയാ ബീവിക്കു ആശ്വാസമായി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","xVdoOz_WpK8"
"12 ഇറങ്ങി മിസിറെങ്ങും","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","8kLbo9NK3Xk"
"13 ഘാതകനാരാണെന്നും അറിഞ്ഞുപോയ്","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","oOFRLJdXOus"
"14 എന്തെന്നില്ലാത്ത പേടി കടന്നത്","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","UWJGXzb6520"
"15 പൊന്നതിതിയാമിയാല്‍ വിശ്വസ്തനാണ്","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","TPkKai9EA_I"
"16 അധിഭയമാല്‍ വദനവും വാടി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","aMcaSF85dR4"
"17 വിവരമറിഞ്ഞിടുന്നതിനായി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","x7N1NhsSAeY"
"18 അടുത്തപ്പോള്‍ നിലത്തല്ല തീ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","BLSyM_4kFpA"
"2 ശരണം മഹാരാജാവേ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","ZTc-6S3eB68"
"2- നന്മപൂക്കും","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","IYLGc748nhI"
"20 നിങ്ങള്‍ക്കിടയിന്ന് നിയോഗിതരാ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","oMgkQMHVInQ"
"21 ശൂരരായി മൂസയും ഹാറൂനും","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","mx1Tl2hbK4U"
"22 അതിന്‍ ശേഷം ഇലാഹെന്നെ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","nebprLsBJtw"
"23 കാട്ടിയ കയ്യും വടിയും","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","Jq1W_a66Gkk"
"24 നെടും മൈതാനം എങ്ങും","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","MmjFyMtYWRA"
"25 വടിയ്യിടാനുടയവന്‍ അരുള്‍","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","bb1UU2vVQSI"
"26 ആസിയ ബീവിയും സംഗതി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","ALonFgXWsEA"
"27 ജീവന്‍ ചതഞ്ഞു പിടഞ്ഞു","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","RAgyYt9bFTc"
"28 നാടിന്റെ താളം പിഴക്ക്ണ്","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","4ceeEAU3p7U"
"29 സത്യവിശ്വാസിയായൊരാള്‍","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","qPYLZcM2jCQ"
"3 ഫറോവ ലോകനാഥനെ മറന്നു","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","XNDL4A_tLzY"
"3- ഒരു മനുഷ്യായുസ്സ്","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","KB9zD-2Ljlw"
"30 മൂസാ നമുക്കൊരു","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","WDRIUdKTwXw"
"31 ധിക്കാരി ഫിര്‍ഔനവന്റെ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","fabq9ht1NGI"
"32 എണ്ണിത്തന്നിട്ടുള്ളവയഞ്ചില്‍","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","7jntUq6ZLFY"
"33 ഇസ്‌റായേല്‍ സന്താനമേറെനാളായി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","BFDfk-QEkfY"
"4 ആലമതില്‍തന്നെ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","VxyQK4ZYXR4"
"4- കടലുണങ്ങും","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","_Urzz4-ywnA"
"5 പൊറുതികെടരുത്","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","WlxOrT757Aw"
"5- ജയിച്ചിടുന്നിതു","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","4v0v26ZP2xM"
"6 യുകബതിന്നു രാജകല്‍പ്പന","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","Pwj8_5ouAwA"
