"Title","Description","Singers (one line)","YoutubeID"
"Aysha Beevi (R) | ഹുമൈറാഅ്‌  ആയിഷ ബീവി (റ) | Music Video | GIO AL JAMIA","ഹുമൈറാഅ്‌  ആയിഷ ബീവി (റ) | Lyrics: Adila K, Nida Vajifa EN | Vocal: Huda Asharaf P | Backing Vocals: Jasim Jamal and Haseeb Razak | Music Composer: Haseeb Razak | Programming: Antony Rapheal | Title Design & Digitalizing: Afna M, Nuzha Hanan | Art: Nida Mariyam, Nida Vajifa EN, Nada NT, Sahla Sherin KP | Calligraphy: Thooba Ruqiya | Video: Swaliha & Nuzha | Studio: Mac Bro Kondotty | Special Thanks: Ajmal Mampad, Salih MC | പൂർവ്വ പ്രവാചകന്മാരായ ഇബ്റാഹിം (അ) യുടെയും ഇസ്മാഈൽ (അ) യുടെയും  കാലശേഷം അണഞ്ഞ് കൊണ്ടിരുന്ന സത്യദീനിന്റെ വിളക്കിനെ  പൂർണ്ണതയോടെ ജ്വലിപ്പിച്ച് നിർത്താൻ അന്ത്യ പ്രവാചകൻ മുഹമ്മദ് (സ്വ) ആഗതനായി. | റസൂലിന് പ്രവാചകത്വത്തിന്റ ആ മഹാദൗത്യം  ഏൽപ്പിക്കപ്പെട്ട് നാല് വർഷങ്ങൾ കഴിഞ്ഞാണ് അബൂബകർ സിദ്ദീഖ് (റ) വിന് ആഇശ എന്ന ഓമന പുത്രി ജനിക്കുന്നത്.","Huda Asharaf P","roRV_8SAPw4"
"HUbB | SONG OF LOVE المتحابون في الله | Haseeb Razak | Ajmal Mampad | Huda Basheer","HUbB | SONG OF LOVE المتحابون في الله | A Haseeb Razak musical | GIO Thrissur sargavedhi presents... | Lyrics: Ajmal Mampad | Vocal : Huda Basheer | Lyrical Video : Saeed kodungaloor | Artist : Faheem PT | Programming: Bayanuzzaman | Mix And Mastering: Vocal Chords (Arjun Kottaram) | Studio: Aum Studios Thrissur | Song concept: Hiba Adhil | Abnam Sakiya P.S | Fathima Hiba Shibily | Naseeha Rahmath Ali","Huda Basheer","Iy3AZf2J_gg"
"Hubb-Song of Love","Provided to YouTube by GIO KERALA | Hubb-Song of Love · GIO KERALA · Huda Basheer · Haseeb Razak · Ajmal Mampad | Hubb | ℗ 2025 GIO KERALA | Released on: 2025-08-15 | Composer: HASEEB RAZAK | Auto-generated by YouTube.","Not credited","8ISX8vcBOUQ"
"PUTHUJALAKANGALIL |പുതുജാലകങ്ങളിൽ|Faheed Ali |Ansif Abdulla|Official Song |GIO ERNAKULAM | Sargavedi","Song: PUTHU JALAKANGALIL | Lyrics : Ansif Abdulla | Composed by : Faheed Ali | Vocal : Devananda Satheesh | Backing Vocals : Fathima Hana, Sidrathul Munthaha OS, Lamia Zakir Husain, Nawal Farheen KA | Graphics & Animation : Misab karakkunnu | Programmed by : Sandy | Studio : Sandy's Music Hub and SRB Sounding | സർഗവേദി-GIO Ernakulam","Devananda Satheesh","xCwaigPXcME"
"SAFAR, Ode to Four Decades-Official Music Video| Jasim Jamal | Dana Razik | Fidha Bilal | Gio Kerala","A Jasim Jamal Musical | Lyrics : Fidha Bilal | Singer : Dana Razik | Programming & Arrangements : Amith Sajan | Mixing & Mastering : Vocal Chords ( Arjun Kottaram) | Studio : Sonic Island Kochi | Video : Saeed Kodungallur | Art : Faheem PT | Design : Hannad Hadi | follow us on | facebook.com/giokerala | instagram.com/giokerala","Dana Razik","41QqXhSqE4M"
"Tarana e Tanzeem | Girls Islamic Organisation","Members Girls Islamic Organisation reciting Tarana e Tanzeem at the City Conference organised by Girls Islamic Organisation, Hyderabad on 20th October, 2019 at Exhibition Grounds, Nampally.","Not credited","3OEpaEuDtXg"
"खतरा - Rap Song |SARGAVEDI |GIO KERALA","Singer : Suvaibathul Aslamiyya K | Lyrics: Ansif Abdullah | Music : Basim Salim | Mixing & Mastering : Ashbin Paulson | Studio : Amala Media House, Kozhikode | Video : Misab Karakunn","Suvaibathul Aslamiyya K","IR6ZuVzjSz0"
"ഇലാഹെന്നും അക്ബർ | A Faheed Ali Musical | Fidha Bilal | Fathima Isthik | GIO Malappuram - Sargavedi","Lyrics : Fidha Bilal | Composed by : Faheed Ali | Programmed, Mixed and Mastered by : Sandy | Studio : Sandy's Music Station , AUM Studio Trissur | Vocal : Fathima Isthik | Chorus : Shifa Sulthana, Haya Abdul Hakim Khan, Fida Thasneem | Studio engineer : Abhiram Unnikrishnan | Executive producer : Shifa Sulthana K K | Video editing : Hafiz Kottakkal | Poster design : Muhammad Safvan","Fathima Isthik","Gs571xiQOJ8"
"കിതാബിലെ കിസ്സ | Kithabile Kissa | Raniya Haneef & Linu Husna | Faheed Ahmed | GIO KERALA","കിതാബിലെ കിസ്സ | Kithabile Kissa | Lyrics   :  Fidha Bilal, Adila K | Vocals : Raniya Haneef, Linu Husna | Music   : Faheed Ahmad | Chorus : Hira Fathima, Nuha Abdul Salam | Programming / Mixing : Suveesh Vishwa - Vatakara | Studio : MusiqHut vatakara | Lyrical Video : Ibnas Ahmed | Special Thanks: | Samad Ammas | Ameen Karakkunnu | Jameel Ahmed | Ajmal Mampad | Shameema Sakkeer","Raniya Haneef, Linu Husna","OvuSgjpkQDk"
"താത്തക്കുട്ടികളുടെ പാട്ട് | സംഗീത നാടകം | GIO KERALA","നേരിന്റെ പെണ്ണിടങ്ങൾ സൃഷ്ടിച്ച് ജി. ഐ. ഒ കേരളയുടെ പെരുന്നാൾ വിരുന്ന് | രചന: ജമീൽ അഹമ്മദ് | സംവിധാനം: മുനീബ് കാരക്കുന്ന്, ജബ്ബാർ പെരിന്തൽമണ്ണ | അവതരണം: ഇർഷാദിയ വിദ്യാർത്ഥിനികൾ","Not credited","_4idkeRQuY4"
